Dataset,Miss_Rate,Variant,Seed,Accuracy_Mean5,Accuracy_Std5,Accuracy_Final,Run_Code,Log_File
FingerMovements,0.0,pyramidal_latent,9999,59.599997997283936,1.6248078922285356,58.99999737739563,t1763994349,run_models_seed9999_t1763994349.log
FingerMovements,0.0,tvf_lstm_latent,42,49.79999840259552,1.7204645905582743,47.999998927116394,t1763990902,run_models_seed42_t1763990902.log
FingerMovements,0.0,tvf_lstm_latent,42,56.19999885559082,1.720465629893163,52.99999713897705,t1763991299,run_models_seed42_t1763991299.log
FingerMovements,0.0,tvf_lstm_latent,42,54.60000038146973,1.356466987937052,55.000001192092896,t1764037705,run_models_seed42_t1764037705.log
FingerMovements,0.0,tvf_lstm_latent,777,53.999998569488525,1.095446246768089,53.999996185302734,t1763993066,run_models_seed777_t1763993066.log
FingerMovements,0.0,tvf_lstm_latent,9999,64.19999837875366,1.5999984741210938,62.99999952316284,t1763994832,run_models_seed9999_t1763994832.log
FingerMovements,0.0,tvf_transformer_latent,42,54.80000019073486,0.40000200271606445,53.999996185302734,t1764039206,run_models_seed42_t1764039206.log
FingerMovements,0.0,tvf_transformer_latent,777,49.399999380111694,0.8000005781652625,50.0,t1764040961,run_models_seed777_t1764040961.log
FingerMovements,0.0,tvf_transformer_latent,9999,55.39999961853027,0.8000013232239467,53.999996185302734,t1764042736,run_models_seed9999_t1764042736.log
FingerMovements,0.0,channel_latent,42,45.79999923706055,2.1354159585595585,46.99999988079071,t1763788746,run_models_seed42_t1763788746.log
FingerMovements,0.0,channel_latent,42,49.20000076293945,0.39999961853027344,49.000000953674316,t1763788836,run_models_seed42_t1763788836.log
FingerMovements,0.0,channel_latent,777,50.999998450279236,2.09761683251219,51.99999809265137,t1763789420,run_models_seed777_t1763789420.log
FingerMovements,0.0,channel_latent,2023,52.600001096725464,1.7435607862194595,50.0,t1763789133,run_models_seed2023_t1763789133.log
FingerMovements,0.0,channel_latent,9999,54.20000076293945,0.748332675293001,54.00000214576721,t1763789721,run_models_seed9999_t1763789721.log
FingerMovements,0.3,baseline,42,50.999999046325684,0.0,50.999999046325684,t1763093753,run_models_seed42_t1763093753.log
FingerMovements,0.3,baseline,42,52.199997901916504,0.39999961853027344,52.99999713897705,t1763095460,run_models_seed42_t1763095460.log
FingerMovements,0.3,baseline,42,47.999998927116394,0.0,47.999998927116394,t1763131017,run_models_seed42_t1763131017.log
FingerMovements,0.3,baseline,42,56.99999928474426,0.0,56.99999928474426,t1763131115,run_models_seed42_t1763131115.log
FingerMovements,0.3,baseline,42,52.99999713897705,0.0,52.99999713897705,t1763205658,run_models_seed42_t1763205658.log
FingerMovements,0.3,baseline,42,51.99999809265137,0.0,51.99999809265137,t1763282263,run_models_seed42_t1763282263.log
FingerMovements,0.3,baseline,777,49.000000953674316,0.0,49.000000953674316,t1763094305,run_models_seed777_t1763094305.log
FingerMovements,0.3,baseline,777,51.99999809265137,0.0,51.99999809265137,t1763096011,run_models_seed777_t1763096011.log
FingerMovements,0.3,baseline,777,50.0,0.0,50.0,t1763131589,run_models_seed777_t1763131589.log
FingerMovements,0.3,baseline,777,52.99999713897705,0.0,52.99999713897705,t1763131691,run_models_seed777_t1763131691.log
FingerMovements,0.3,baseline,777,55.000001192092896,0.0,55.000001192092896,t1763206247,run_models_seed777_t1763206247.log
FingerMovements,0.3,baseline,777,55.000001192092896,0.0,55.000001192092896,t1763282829,run_models_seed777_t1763282829.log
FingerMovements,0.3,baseline,2023,54.00000214576721,0.0,54.00000214576721,t1763094032,run_models_seed2023_t1763094032.log
FingerMovements,0.3,baseline,2023,54.400001764297485,0.48989748135354444,55.000001192092896,t1763095732,run_models_seed2023_t1763095732.log
FingerMovements,0.3,baseline,2023,56.00000023841858,0.0,56.00000023841858,t1763131303,run_models_seed2023_t1763131303.log
FingerMovements,0.3,baseline,2023,46.99999988079071,0.0,46.99999988079071,t1763131403,run_models_seed2023_t1763131403.log
FingerMovements,0.3,baseline,2023,51.99999809265137,0.0,51.99999809265137,t1763205955,run_models_seed2023_t1763205955.log
FingerMovements,0.3,baseline,2023,46.99999988079071,0.0,46.99999988079071,t1763282545,run_models_seed2023_t1763282545.log
FingerMovements,0.3,baseline,9999,52.99999713897705,0.0,52.99999713897705,t1763094586,run_models_seed9999_t1763094586.log
FingerMovements,0.3,baseline,9999,51.99999809265137,0.0,51.99999809265137,t1763096286,run_models_seed9999_t1763096286.log
FingerMovements,0.3,baseline,9999,52.99999713897705,0.0,52.99999713897705,t1763131873,run_models_seed9999_t1763131873.log
FingerMovements,0.3,baseline,9999,55.000001192092896,0.0,55.000001192092896,t1763131977,run_models_seed9999_t1763131977.log
FingerMovements,0.3,baseline,9999,40.99999964237213,0.0,40.99999964237213,t1763206541,run_models_seed9999_t1763206541.log
FingerMovements,0.3,baseline,9999,54.00000214576721,0.0,54.00000214576721,t1763283111,run_models_seed9999_t1763283111.log
FingerMovements,0.3,pyramidal_latent,42,49.000000953674316,0.0,49.000000953674316,t1763992760,run_models_seed42_t1763992760.log
FingerMovements,0.3,pyramidal_latent,42,52.99999713897705,0.0,52.99999713897705,t1763996229,run_models_seed42_t1763996229.log
FingerMovements,0.3,pyramidal_latent,777,56.99999928474426,0.0,56.99999928474426,t1763993838,run_models_seed777_t1763993838.log
FingerMovements,0.3,pyramidal_latent,777,48.99999797344208,0.0,48.99999797344208,t1763998101,run_models_seed777_t1763998101.log
FingerMovements,0.3,pyramidal_latent,9999,51.599998474121094,0.48989748135354444,50.999999046325684,t1763994168,run_models_seed9999_t1763994168.log
FingerMovements,0.3,pyramidal_latent,9999,50.0,0.0,50.0,t1763999959,run_models_seed9999_t1763999959.log
FingerMovements,0.3,tvf_lstm_latent,42,53.999996185302734,0.0,53.999996185302734,t1763996605,run_models_seed42_t1763996605.log
FingerMovements,0.3,tvf_lstm_latent,777,50.0,0.0,50.0,t1763998369,run_models_seed777_t1763998369.log
FingerMovements,0.3,tvf_lstm_latent,9999,53.999996185302734,0.0,53.999996185302734,t1764000140,run_models_seed9999_t1764000140.log
FingerMovements,0.3,tvf_transformer_latent,42,56.00000023841858,0.0,56.00000023841858,t1764044492,run_models_seed42_t1764044492.log
FingerMovements,0.3,tvf_transformer_latent,777,45.39999842643738,0.48989748135354444,45.99999785423279,t1764046235,run_models_seed777_t1764046235.log
FingerMovements,0.3,tvf_transformer_latent,9999,42.9999977350235,0.0,42.9999977350235,t1764047975,run_models_seed9999_t1764047975.log
FingerMovements,0.3,channel_latent,42,56.00000023841858,0.0,56.00000023841858,t1763814042,run_models_seed42_t1763814042.log
FingerMovements,0.3,channel_latent,777,43.99999976158142,0.0,43.99999976158142,t1763814612,run_models_seed777_t1763814612.log
FingerMovements,0.3,channel_latent,2023,50.0,0.0,50.0,t1763814328,run_models_seed2023_t1763814328.log
FingerMovements,0.3,channel_latent,9999,46.200000643730164,0.39999961853027344,46.99999988079071,t1763814892,run_models_seed9999_t1763814892.log
FingerMovements,0.6,baseline,42,54.00000214576721,0.0,54.00000214576721,t1763094869,run_models_seed42_t1763094869.log
FingerMovements,0.6,baseline,42,50.999999046325684,0.0,50.999999046325684,t1763096562,run_models_seed42_t1763096562.log
FingerMovements,0.6,baseline,42,50.999999046325684,0.0,50.999999046325684,t1763132158,run_models_seed42_t1763132158.log
FingerMovements,0.6,baseline,42,46.99999988079071,0.0,46.99999988079071,t1763132263,run_models_seed42_t1763132263.log
FingerMovements,0.6,baseline,42,55.000001192092896,0.0,55.000001192092896,t1763206837,run_models_seed42_t1763206837.log
FingerMovements,0.6,baseline,42,47.999998927116394,0.0,47.999998927116394,t1763283393,run_models_seed42_t1763283393.log
FingerMovements,0.6,baseline,777,46.99999988079071,0.0,46.99999988079071,t1763095430,run_models_seed777_t1763095430.log
FingerMovements,0.6,baseline,777,49.000000953674316,0.0,49.000000953674316,t1763097119,run_models_seed777_t1763097119.log
FingerMovements,0.6,baseline,777,51.99999809265137,0.0,51.99999809265137,t1763132731,run_models_seed777_t1763132731.log
FingerMovements,0.6,baseline,777,46.99999988079071,0.0,46.99999988079071,t1763132839,run_models_seed777_t1763132839.log
FingerMovements,0.6,baseline,777,46.00000083446503,0.0,46.00000083446503,t1763207425,run_models_seed777_t1763207425.log
FingerMovements,0.6,baseline,777,52.99999713897705,0.0,52.99999713897705,t1763283957,run_models_seed777_t1763283957.log
FingerMovements,0.6,baseline,2023,47.999998927116394,0.0,47.999998927116394,t1763095151,run_models_seed2023_t1763095151.log
FingerMovements,0.6,baseline,2023,41.999998688697815,0.0,41.999998688697815,t1763096842,run_models_seed2023_t1763096842.log
FingerMovements,0.6,baseline,2023,50.999999046325684,0.0,50.999999046325684,t1763132446,run_models_seed2023_t1763132446.log
FingerMovements,0.6,baseline,2023,50.0,0.0,50.0,t1763132552,run_models_seed2023_t1763132552.log
FingerMovements,0.6,baseline,2023,49.000000953674316,0.0,49.000000953674316,t1763207133,run_models_seed2023_t1763207133.log
FingerMovements,0.6,baseline,2023,51.99999809265137,0.0,51.99999809265137,t1763283674,run_models_seed2023_t1763283674.log
FingerMovements,0.6,baseline,9999,46.00000083446503,0.0,46.00000083446503,t1763095719,run_models_seed9999_t1763095719.log
FingerMovements,0.6,baseline,9999,50.0,0.0,50.0,t1763097398,run_models_seed9999_t1763097398.log
FingerMovements,0.6,baseline,9999,44.999998807907104,0.0,44.999998807907104,t1763133018,run_models_seed9999_t1763133018.log
FingerMovements,0.6,baseline,9999,43.00000071525574,0.0,43.00000071525574,t1763133126,run_models_seed9999_t1763133126.log
FingerMovements,0.6,baseline,9999,49.000000953674316,0.0,49.000000953674316,t1763207719,run_models_seed9999_t1763207719.log
FingerMovements,0.6,baseline,9999,46.00000083446503,0.0,46.00000083446503,t1763284238,run_models_seed9999_t1763284238.log
FingerMovements,0.6,pyramidal_latent,42,46.99999988079071,0.0,46.99999988079071,t1763994497,run_models_seed42_t1763994497.log
FingerMovements,0.6,pyramidal_latent,42,53.999996185302734,0.0,53.999996185302734,t1764001839,run_models_seed42_t1764001839.log
FingerMovements,0.6,pyramidal_latent,777,50.999999046325684,0.0,50.999999046325684,t1763994828,run_models_seed777_t1763994828.log
FingerMovements,0.6,pyramidal_latent,777,42.9999977350235,0.0,42.9999977350235,t1764003686,run_models_seed777_t1764003686.log
FingerMovements,0.6,pyramidal_latent,9999,46.99999988079071,0.0,46.99999988079071,t1763995167,run_models_seed9999_t1763995167.log
FingerMovements,0.6,pyramidal_latent,9999,50.0,0.0,50.0,t1764005572,run_models_seed9999_t1764005572.log
FingerMovements,0.6,tvf_lstm_latent,42,50.999999046325684,0.0,50.999999046325684,t1764001909,run_models_seed42_t1764001909.log
FingerMovements,0.6,tvf_lstm_latent,777,50.0,0.0,50.0,t1764003674,run_models_seed777_t1764003674.log
FingerMovements,0.6,tvf_lstm_latent,9999,43.99999976158142,0.0,43.99999976158142,t1764005420,run_models_seed9999_t1764005420.log
FingerMovements,0.6,tvf_transformer_latent,42,53.999996185302734,0.0,53.999996185302734,t1764049735,run_models_seed42_t1764049735.log
FingerMovements,0.6,tvf_transformer_latent,777,43.99999976158142,0.0,43.99999976158142,t1764051510,run_models_seed777_t1764051510.log
FingerMovements,0.6,tvf_transformer_latent,9999,50.999999046325684,0.0,50.999999046325684,t1764053276,run_models_seed9999_t1764053276.log
FingerMovements,0.6,channel_latent,42,53.399999141693115,0.4899004013728644,54.00000214576721,t1763869866,run_models_seed42_t1763869866.log
FingerMovements,0.6,channel_latent,777,37.99999952316284,0.0,37.99999952316284,t1763870402,run_models_seed777_t1763870402.log
FingerMovements,0.6,channel_latent,2023,50.0,0.0,50.0,t1763870131,run_models_seed2023_t1763870131.log
FingerMovements,0.6,channel_latent,9999,52.99999713897705,0.0,52.99999713897705,t1763870672,run_models_seed9999_t1763870672.log
FingerMovements,0.9,baseline,42,51.99999809265137,0.0,51.99999809265137,t1763096011,run_models_seed42_t1763096011.log
FingerMovements,0.9,baseline,42,52.99999713897705,0.0,52.99999713897705,t1763097676,run_models_seed42_t1763097676.log
FingerMovements,0.9,baseline,42,47.999998927116394,0.0,47.999998927116394,t1763133304,run_models_seed42_t1763133304.log
FingerMovements,0.9,baseline,42,51.99999809265137,0.0,51.99999809265137,t1763133423,run_models_seed42_t1763133423.log
