Dataset,baseline_mean,baseline_std,pyramidal_latent_mean,pyramidal_latent_std,tvf_lstm_latent_mean,tvf_lstm_latent_std,tvf_transformer_latent_mean,tvf_transformer_latent_std,channel_latent_mean,channel_latent_std
FingerMovements,52.8410251171161,2.644075896224166,52.06666608651479,3.928810739156188,55.75999891757965,4.7199998902062825,53.199999729792275,2.6981477376795757,50.56000006198883,2.9021376208952754
NATOPS,91.14074039459229,3.8897280747409853,83.81481568018596,1.5748365284288395,86.92592779795329,2.0574731200598313,86.07407569885254,3.824690063689566,87.55555540323257,3.0194844823864524
ArticularyWordRecognition,68.94222211837769,5.848044056478044,65.47777911027272,0.8729829053141653,67.28889028231303,1.9507498149386513,67.95555591583252,2.4743605700953015,67.00000017881393,2.9055496273405854
BasicMotions,73.00000063578288,5.793674570557787,68.33333373069763,4.2491835514306056,69.16666825612386,4.249181603191683,69.9999988079071,5.40061669684167,64.99999910593033,5.30330212330477
RacketSports,69.76315768559773,4.97389290980036,45.833333333333336,2.9506819015204364,61.09649141629537,4.190375836261489,58.72807105382284,2.30503218104117,64.11184191703796,2.5469537413290837
Epilepsy,54.251206715901695,3.4913861019434425,55.45893589655558,3.628658450457095,55.26569962501526,0.2977982226087769,57.05313960711161,1.3715056585447565,55.39854943752289,3.025090388709421
AtrialFibrillation,36.47619140999658,3.5850533038275474,39.111111760139465,1.6629587394461254,32.000001072883606,0.0,38.66666913032532,7.85045444534665,41.66666783392429,9.539392046972864
SelfRegulationSCP2,49.79629635810852,1.8211345772084437,50.074074268341064,1.1523222337396062,48.88889034589132,1.2472192669848305,49.55555617809296,0.0,47.777777165174484,2.1559567362107575
Libras,41.66666702429453,13.04881628002765,34.92592632770538,8.244380628767694,27.851851880550385,1.8599820456097147,35.88888963063558,8.129102755932733,31.694444566965103,3.125339368330175
ERing,71.580246925354,4.4967020083623055,72.1975302696228,1.2221597423515165,71.8765417734782,0.429089693306456,71.85184995333354,2.8999481976442696,71.38888835906982,2.0335830798305405
UWaveGestureLibrary,44.25416656335195,2.341092113469806,43.58333349227905,1.6010521181460853,44.20833349227905,0.6776437738539159,44.312500754992165,1.9141740364222941,45.82812488079071,2.695980385945211
