Dataset,Miss_Rate,baseline_Mean,baseline_Std,baseline_N,pyramidal_latent_Mean,pyramidal_latent_Std,pyramidal_latent_N,pyramidal_latent_Imp_Abs,pyramidal_latent_Imp_Pct,tvf_lstm_latent_Mean,tvf_lstm_latent_Std,tvf_lstm_latent_N,tvf_lstm_latent_Imp_Abs,tvf_lstm_latent_Imp_Pct,tvf_transformer_latent_Mean,tvf_transformer_latent_Std,tvf_transformer_latent_N,tvf_transformer_latent_Imp_Abs,tvf_transformer_latent_Imp_Pct,channel_latent_Mean,channel_latent_Std,channel_latent_N,channel_latent_Imp_Abs,channel_latent_Imp_Pct
ArticularyWordRecognition,0.6,31.98333326727152,10.58864266137432,24,26.00000001490116,3.4624975907187,4,-5.9833332523703575,-18.70766002520785,25.91111222902934,3.4038471955178875,3,-6.07222103824218,-18.985579106152365,25.033333599567413,2.566666901111603,2,-6.949999667704105,-21.73006674953428,29.216666743159294,6.293801963879012,4,-2.7666665241122246,-8.650338290234899
ArticularyWordRecognition,0.9,11.136111148322621,4.033217616349809,24,7.622222304344177,0.9210836284839375,3,-3.513888843978444,-31.554002983417817,12.911111315091452,1.3611904310179868,3,1.7750001667688302,15.939138386169843,10.000000074505806,0.4666665941476822,2,-1.1361110738168154,-10.202045028869367,9.999999962747097,0.9067646930960703,4,-1.1361111855755244,-10.20204603243971
BasicMotions,0.0,73.00000063578288,5.793674570557787,15,68.33333373069763,4.2491835514306056,6,-4.6666669050852505,-6.392694334851499,69.16666825612386,4.249181603191683,3,-3.8333323796590264,-5.251140200374214,69.9999988079071,5.40061669684167,3,-3.000001827875778,-4.1095915092434225,64.99999910593033,5.30330212330477,4,-8.000001529852554,-10.958906109832473
BasicMotions,0.3,65.97916632890701,9.242653802418035,24,63.875001668930054,3.6293073007567456,4,-2.1041646599769592,-3.1891349604020016,65.00000059604645,2.5000005960464478,2,-0.9791657328605652,-1.4840529023652875,64.83333309491475,12.51887478799315,3,-1.1458332339922634,-1.7366591573471386,61.000001430511475,1.224743703383861,5,-4.979164898395538,-7.546571403425038
BasicMotions,0.6,59.08333304027716,15.18679975985543,24,46.666666865348816,3.118047238211234,3,-12.416666174928345,-21.015514081549686,66.24999940395355,3.7499994039535522,2,7.166666363676391,12.129759773015628,61.166666746139526,11.73551234549369,3,2.0833337058623655,3.526093736861722,53.75000014901161,12.562344333647404,4,-5.333332891265549,-9.02679760403803
BasicMotions,0.9,29.70833328862985,6.01719178728035,24,37.5,7.359800114539162,3,7.791666711370151,26.227209166096927,59.99999940395355,2.5000005960464478,2,30.291666115323704,101.96353265942761,37.16666599114736,6.7123433758431235,3,7.458332702517513,25.105187255227175,46.87499985098839,4.218633320749171,4,17.16666656235854,57.78401095603929
RacketSports,0.0,69.76315768559773,4.97389290980036,15,45.833333333333336,2.9506819015204364,3,-23.929824352264397,-34.30152124149706,61.09649141629537,4.190375836261489,3,-8.666666269302361,-12.422984504744619,58.72807105382284,2.30503218104117,3,-11.035086631774895,-15.817928829292422,64.11184191703796,2.5469537413290837,4,-5.651315768559769,-8.100716704981455
RacketSports,0.3,63.28399106860161,5.584421686491401,24,34.56140339374542,5.282129632599022,3,-28.722587674856186,-45.38681456376558,47.763157884279885,2.7994682832617523,3,-15.520833184321724,-24.52568638962215,48.81579041481018,3.3769078733522506,3,-14.468200653791428,-22.862339131088454,52.36842021346092,3.720452030896418,4,-10.915570855140686,-17.248550021612736
RacketSports,0.6,50.41118430594603,7.40984494689329,24,31.57894750436147,2.113470870001989,3,-18.83223680158456,-37.35725922900662,37.76315828164419,4.730747268903369,3,-12.648026024301842,-25.08972204965635,40.614035526911415,2.0165904781486477,3,-9.797148779034615,-19.434474539569653,42.138157933950424,2.3800428584575126,4,-8.273026371995606,-16.411093065750087
RacketSports,0.9,34.8081141586105,5.635151525585016,24,24.561403493086498,2.92514589444957,3,-10.246710665524002,-29.43770702093399,31.75438602765401,0.5513068289927081,3,-3.0537281309564897,-8.773035267126321,28.28947385152181,2.896730052452639,3,-6.518640307088692,-18.727358446898716,30.000000149011612,1.1395068068670813,4,-4.808114009598889,-13.813198806719907
