Dataset,Miss_Rate,baseline_Mean,baseline_Std,baseline_N,pyramidal_latent_Mean,pyramidal_latent_Std,pyramidal_latent_N,pyramidal_latent_Imp_Abs,pyramidal_latent_Imp_Pct,tvf_lstm_latent_Mean,tvf_lstm_latent_Std,tvf_lstm_latent_N,tvf_lstm_latent_Imp_Abs,tvf_lstm_latent_Imp_Pct,tvf_transformer_latent_Mean,tvf_transformer_latent_Std,tvf_transformer_latent_N,tvf_transformer_latent_Imp_Abs,tvf_transformer_latent_Imp_Pct,channel_latent_Mean,channel_latent_Std,channel_latent_N,channel_latent_Imp_Abs,channel_latent_Imp_Pct
ProximalPhalanxOutlineAgeGroup,0.6,74.41463440656662,3.58221267471871,4,71.15447123845418,3.162674557691265,3,-3.2601631681124417,-4.381077988370461,76.7479677995046,2.2591686760039025,3,2.3333333929379734,3.1355840306756533,78.92682909965515,1.0951201023676889,3,4.5121946930885315,6.063585112084295,78.65853607654572,2.6263433820134043,4,4.2439016699790955,5.703047127521193
ProximalPhalanxOutlineAgeGroup,0.9,41.536585688591,3.6979179392187715,4,68.84552796681722,1.4717016389587625,3,27.308942278226212,65.74671900807498,60.42276422182719,3.7484516662870244,3,18.886178533236183,45.468779438998794,48.520326018333435,5.346801004096449,3,6.983740329742432,16.81346748647345,60.31707376241684,1.4228106201203343,4,18.780488073825836,45.21432795325865
SyntheticControl,0.0,99.08333420753479,0.43301228893912685,4,98.33333492279053,0.47140407122464756,3,-0.7499992847442627,-0.7569378753175112,97.77777989705403,0.15713469040821587,3,-1.3055543104807583,-1.317632597774932,98.20000171661377,0.48381156209150455,3,-0.8833324909210205,-0.8915046087072911,98.03333461284637,0.7340903594031105,4,-1.0499995946884155,-1.0597136270052652
SyntheticControl,0.3,91.83333307504654,2.173834523597979,4,93.64444653193156,1.121288425769224,3,1.8111134568850247,1.9721743687610422,92.4666686852773,1.7847079001455937,3,0.633335610230759,0.6896576537336337,91.26666903495789,1.5691454763368093,3,-0.5666640400886536,-0.6170570326850422,92.46666640043259,3.2138582242074256,4,0.6333333253860474,0.6896551656994581
SyntheticControl,0.6,68.7500011920929,5.144873115948904,4,54.555556774139404,1.1331149123488249,3,-14.194444417953491,-20.646464249932304,75.24444659550984,3.631277735801687,3,6.494445403416947,9.446465877536433,77.088889280955,2.9015106953922625,3,8.338888088862106,12.129291555301357,77.53333359956741,7.112273707455962,4,8.783332407474518,12.7757560075282
SyntheticControl,0.9,39.08333346247673,1.3394650377641808,4,34.511111776034035,2.789575053508659,3,-4.572221686442695,-11.698648199576965,41.82222346464793,2.0686967065229847,3,2.738890002171196,7.007820877921684,43.13333451747894,1.2835134211978307,3,4.0500010550022125,10.362476012673158,43.40000003576279,2.5223447979491462,4,4.3166665732860565,11.044775843980702
ProximalPhalanxTW,0.0,78.12195122241974,0.7047892304189677,4,77.65853683153789,0.1379724852466761,3,-0.46341439088185155,-0.5931935693240328,76.74796621004741,0.321935009483805,3,-1.37398501237233,-1.7587694506765192,77.33333309491475,0.7401498805873634,3,-0.7886181275049893,-1.00947059714334,77.41463363170624,0.7317082484571759,4,-0.707317590713501,-0.9054018488346617
ProximalPhalanxTW,0.3,73.60975593328476,2.319510248808455,4,74.08130009969075,1.5246449943990592,3,0.47154416640599095,0.6406000949566643,73.0731709798177,2.393724878042607,3,-0.5365849534670559,-0.728959017271274,75.1544717947642,0.9636114936204563,3,1.544715861479446,2.0985205587143625,75.82926869392395,1.7237883731129189,4,2.2195127606391907,3.0152426570342348
ProximalPhalanxTW,0.6,65.73170721530914,4.801533716523351,4,61.398375034332275,1.774666749774173,3,-4.333332180976868,-6.5924534209688375,69.17073130607605,0.42151118815557104,3,3.4390240907669067,5.231910498691484,68.2276423772176,1.3361058613282586,3,2.495935161908463,3.7971555397653676,71.09756052494049,2.2800633605621985,4,5.365853309631348,8.16326478795856
ProximalPhalanxTW,0.9,33.31707328557968,3.0521929826879863,4,50.01625955104828,3.8839668220300965,3,16.699186265468597,50.12200838390073,48.74796708424886,2.167425286768255,3,15.430893798669182,46.31527405304232,42.926829059918724,6.183139483193127,3,9.609755774339042,28.843337144197307,51.219512820243835,3.4236823074253304,4,17.902439534664154,53.733529896855316
SmoothSubspace,0.0,49.49666613340378,48.51249512511957,4,97.33333587646484,0.9428081424492951,3,47.836669743061066,96.64624606055551,98.4000015258789,0.37712325697971805,3,48.90333539247513,98.80127130314293,64.77333545684814,45.133537623849875,3,15.276669323444366,30.86403694800489,97.6666659116745,1.3743701224227192,4,48.16999977827072,97.31968542778738
SmoothSubspace,0.3,87.10000038146973,1.3211934855175984,4,86.88889344533284,2.5141578563213542,3,-0.21110693613688625,-0.24237305994524272,84.35555855433147,3.835636556253324,3,-2.7444418271382602,-3.150909087392073,86.3111122449239,4.715721292688267,3,-0.7888881365458218,-0.9057269036633157,87.03333377838135,2.0491170977149467,4,-0.0666666030883789,-0.07654030171802621
SmoothSubspace,0.6,68.03333282470703,3.042476915236958,4,40.711111625035606,2.4472705126667833,3,-27.322221199671425,-40.16005105919061,62.222225268681846,4.9078418308337515,3,-5.811107556025185,-8.541559430871832,63.42222293217977,7.802246656516956,3,-4.61110989252726,-6.7777215977469885,64.00000035762787,8.239202549523485,4,-4.033332467079163,-5.928465209063542
SmoothSubspace,0.9,47.13333338499069,1.4981467949630347,4,34.555555979410805,4.42026751541277,3,-12.577777405579887,-26.685524876509582,43.022223114967346,2.9137392598198733,3,-4.111110270023346,-8.72229900746316,43.51111253102621,2.011326144567603,3,-3.6222208539644853,-7.6850513083336445,43.499999940395355,3.1515431267924754,4,-3.633333444595337,-7.708628233267179
MoteStrain,0.0,75.78674107789993,0.21914012174593714,4,76.4856207370758,0.7590798940289004,3,0.6988796591758728,0.9221661325396036,77.72630294164021,0.22224301430890336,3,1.9395618637402805,2.559236399605357,77.37486481666565,0.6224337314325824,3,1.5881237387657166,2.095516598521251,77.24840342998505,0.6097946689503315,4,1.4616623520851135,1.9286518080817001
MoteStrain,0.3,59.51677322387695,3.301155739090792,4,62.40148981412252,2.1579230611293965,3,2.884716590245567,4.846896822504947,64.92545207341512,4.067774222336147,3,5.408678849538163,9.08765471742394,61.67731523513794,3.4855291699711906,3,2.1605420112609863,3.630139697147122,63.426517844200134,4.479591811104023,4,3.909744620323181,6.569147500010415
MoteStrain,0.6,49.788339138031006,1.9200714134155055,4,50.495205322901406,2.4721020333437727,3,0.7068661848703996,1.4197424479469276,63.69542042414347,7.106506366322155,3,13.907081286112465,27.932406517030188,53.439827958742775,5.217888247089505,3,3.6514888207117693,7.334024158927137,61.62939339876175,6.742661726034529,4,11.841054260730743,23.782786222097354
MoteStrain,0.9,49.53674137592316,2.2781650728125054,4,51.10755980014801,2.208340657828538,3,1.5708184242248535,3.1710168666611853,57.896698117256165,6.029856361479994,3,8.359956741333008,16.87627508214798,54.116079012552895,3.2370049247805244,3,4.579337636629738,9.24432554389918,54.35303494334221,6.693123958591275,4,4.816293567419052,9.722669343284588
Earthquakes,0.0,45.467625856399536,1.0071945190429688,2,75.77937682469685,0.9495917780670173,3,30.311750968297318,66.66666754061661,75.10791381200154,0.42358628910842594,3,29.640287955602005,65.18987388788446,68.05755317211151,0.0,1,22.589927315711975,49.68354271907175,77.55395690600078,0.7146121002176145,3,32.08633104960124,70.56962057121598
Earthquakes,0.3,64.92805749177933,6.389829642598083,4,75.01199086507161,1.5151622562712914,3,10.083933373292282,15.530933409749753,75.92326323191325,0.7643840201518546,3,10.995205740133926,16.93444431404105,70.35971283912659,0.11748162397411208,3,5.4316553473472595,8.365652011127812,66.47482067346573,9.35251921415329,2,1.5467631816864014,2.382272381831599
Earthquakes,0.6,63.99280622601509,8.548975503776317,4,74.53237414360046,0.0,1,10.539567917585373,16.469926135698525,75.25179902712505,0.3108273445915032,3,11.258992801109954,17.59415388246065,59.088730017344155,7.250936060880004,3,-4.904076208670936,-7.663480472086681,63.525178879499435,10.172926499650126,4,-0.4676273465156555,-0.7307498672023391
