Dataset,baseline_mean,baseline_std,pyramidal_latent_mean,pyramidal_latent_std,tvf_lstm_latent_mean,tvf_lstm_latent_std,tvf_transformer_latent_mean,tvf_transformer_latent_std,channel_latent_mean,channel_latent_std
Wafer,89.68851387500763,2.4501993986550783,91.55310392379761,6.00951150314143,98.22842319806416,0.11665733119918585,88.53450258572896,0.2106161789800511,93.71836513280869,2.9905851317152297
ItalyPowerDemand,66.3848403096199,1.113949788447395,70.74181993802388,4.32845600573176,69.33592478434245,2.0288627094271083,71.603498061498,0.5159480451744762,71.20505392551422,2.18542252132602
ProximalPhalanxOutlineAgeGroup,74.41463440656662,3.58221267471871,71.15447123845418,3.162674557691265,76.7479677995046,2.2591686760039025,78.92682909965515,1.0951201023676889,78.65853607654572,2.6263433820134043
SyntheticControl,68.7500011920929,5.144873115948904,54.555556774139404,1.1331149123488249,75.24444659550984,3.631277735801687,77.088889280955,2.9015106953922625,77.53333359956741,7.112273707455962
ProximalPhalanxTW,65.73170721530914,4.801533716523351,61.398375034332275,1.774666749774173,69.17073130607605,0.42151118815557104,68.2276423772176,1.3361058613282586,71.09756052494049,2.2800633605621985
SmoothSubspace,68.03333282470703,3.042476915236958,40.711111625035606,2.4472705126667833,62.222225268681846,4.9078418308337515,63.42222293217977,7.802246656516956,64.00000035762787,8.239202549523485
MoteStrain,49.788339138031006,1.9200714134155055,50.495205322901406,2.4721020333437727,63.69542042414347,7.106506366322155,53.439827958742775,5.217888247089505,61.62939339876175,6.742661726034529
Earthquakes,63.99280622601509,8.548975503776317,74.53237414360046,0.0,75.25179902712505,0.3108273445915032,59.088730017344155,7.250936060880004,63.525178879499435,10.172926499650126
ProximalPhalanxOutlineCorrect,64.65635657310486,1.152485053612386,61.85567180315653,3.0551362732367684,63.6884335676829,0.45358530689092863,68.04123799006145,0.7359627207616625,67.31958776712418,1.2394967291466952
SonyAIBORobotSurface2,55.79748183488846,1.8236632964253714,52.95557578404745,1.1044400167239952,59.09058849016825,3.3413971331834285,55.38999358812968,1.8204034770479638,56.904511749744415,0.9990595594879891
Strawberry,56.51351362466812,3.704281038455048,61.171172857284546,11.122911773332879,71.5135149161021,1.995367841408022,55.29729882876078,3.7623594135260006,63.202703297138214,1.0994221642233963
ElectricDevices,59.147970378398895,0.48224066943226007,,,60.48069874445597,1.6955306682525229,,,61.35780066251755,1.2443278777848465
ECGFiveDays,50.656214356422424,1.38541568162938,50.86333552996317,1.02388414436883,52.17189153035482,1.3369523533372647,49.57026720046997,1.3258746850432293,51.353077590465546,0.9394574185936825
TwoPatterns,42.86249980330467,9.795212354013016,49.37833567460378,0.6122408928836242,52.356669108072914,5.3877122861106574,61.703336238861084,17.43421110027163,49.78125035762787,0.7903115059382041
MiddlePhalanxOutlineAgeGroup,38.6038963496685,8.795945609409868,42.20779240131378,1.911637234807719,48.83116900920868,2.1911776228463524,49.61038986841837,3.408112527584975,48.96103948354721,3.467800070545932
Car,,,24.444445967674255,6.285393235908436,23.88889044523239,3.62433516754292,23.66666853427887,0.0,,
Lightning2,,,44.59016144275665,6.756537563504816,51.80327614148458,4.5034742566478645,,,,
Coffee,,,49.04762268066406,6.397633665240828,52.3809548219045,3.212081403109167,52.3809544245402,4.891104026882209,,
