Dataset,baseline_mean,baseline_std,pyramidal_latent_mean,pyramidal_latent_std,tvf_lstm_latent_mean,tvf_lstm_latent_std,tvf_transformer_latent_mean,tvf_transformer_latent_std,channel_latent_mean,channel_latent_std
Wafer,90.46966254711151,2.672229152132984,92.6530388991038,2.9450917921853415,98.32792639732361,0.4811159709500326,93.97793730099995,3.6164553413387384,97.34020084142685,1.294289489152376
ItalyPowerDemand,83.01263362169266,2.5603660346337986,83.64755392074585,1.1188246848978893,84.82669194539388,1.7371597979737334,85.92808524767558,0.8937905806860172,85.79688966274261,1.1960367389665758
ProximalPhalanxOutlineAgeGroup,81.34146362543106,2.997819153039483,80.91056982676189,2.1155717382059485,81.69105728467305,1.4077967229575676,82.40650375684102,1.0273541832079984,83.2682928442955,1.693322580011399
SyntheticControl,91.83333307504654,2.173834523597979,93.64444653193156,1.121288425769224,92.4666686852773,1.7847079001455937,91.26666903495789,1.5691454763368093,92.46666640043259,3.2138582242074256
ProximalPhalanxTW,73.60975593328476,2.319510248808455,74.08130009969075,1.5246449943990592,73.0731709798177,2.393724878042607,75.1544717947642,0.9636114936204563,75.82926869392395,1.7237883731129189
SmoothSubspace,87.10000038146973,1.3211934855175984,86.88889344533284,2.5141578563213542,84.35555855433147,3.835636556253324,86.3111122449239,4.715721292688267,87.03333377838135,2.0491170977149467
MoteStrain,59.51677322387695,3.301155739090792,62.40148981412252,2.1579230611293965,64.92545207341512,4.067774222336147,61.67731523513794,3.4855291699711906,63.426517844200134,4.479591811104023
Earthquakes,64.92805749177933,6.389829642598083,75.01199086507161,1.5151622562712914,75.92326323191325,0.7643840201518546,70.35971283912659,0.11748162397411208,66.47482067346573,9.35251921415329
ProximalPhalanxOutlineCorrect,66.68384850025177,1.4509500833791862,63.757161696751915,1.7677478247329934,70.99656422932942,2.94652316551134,70.76746821403503,1.494570848953849,69.82817888259888,1.333581287121891
SonyAIBORobotSurface2,60.42497396469116,3.4389262472303104,59.40538247426351,3.7971335671664748,65.28156240781148,2.493190063604891,59.3144420782725,3.1429278090875687,62.471143305301666,5.6088455397329255
Strawberry,62.12162226438522,0.865182023361262,62.054056326548256,10.137213353477904,74.34234499931335,0.5992174633695619,64.43243304888408,3.230002664107699,72.01351344585419,6.789905766283218
ElectricDevices,67.94449537992477,0.978726448835299,66.26118540763855,0.0,68.01971236864726,0.6821206135010658,64.9850857257843,0.0,67.35507607460022,0.654941871011389
ECGFiveDays,50.99303126335144,2.7182848099004104,53.43399087587992,1.8194086589016487,58.29655249913534,5.792387773764017,52.884241342544556,2.674799562560046,57.270615100860596,4.410583258849641
TwoPatterns,50.34874960780144,0.230959136779958,50.26333530743917,0.16177855026809984,50.31333486239115,0.382019087022834,65.99166969458263,22.47779630249489,50.307499915361404,0.5166051686331248
MiddlePhalanxOutlineAgeGroup,52.33766287565231,3.2402534130615264,54.76190527280172,1.909674574875311,50.00000019868215,1.5834930302548753,51.082252065340676,4.431260652810986,51.94805234670639,4.009182027692897
Car,,,23.888889849185944,2.3147408733921186,23.888890544573467,2.7261876604248996,25.555557012557983,2.266230759852239,,
Lightning2,,,50.27322153250376,0.5572694227023663,55.51912287871043,4.677799461187052,48.85245621204376,0.0,,
Coffee,,,50.476192235946655,4.67782951293175,51.66666924953461,6.759557352363704,50.00000218550364,9.600879402680174,,
