Dataset,baseline_mean,baseline_std,pyramidal_latent_mean,pyramidal_latent_std,tvf_lstm_latent_mean,tvf_lstm_latent_std,tvf_transformer_latent_mean,tvf_transformer_latent_std,channel_latent_mean,channel_latent_std
Wafer,81.60853385925293,1.9863726787958893,91.53147459030151,0.26606082916259766,89.9069877465566,0.44232380589778714,76.1842970053355,9.563201190593634,88.1026941537857,0.8417425875442143
ItalyPowerDemand,50.94266325235367,2.253904109748342,51.02688650290171,2.006455768007454,50.3206996122996,0.9463457971127401,53.51473848025004,3.4523217286704524,52.92516991496086,3.658604668101494
ProximalPhalanxOutlineAgeGroup,41.536585688591,3.6979179392187715,68.84552796681722,1.4717016389587625,60.42276422182719,3.7484516662870244,48.520326018333435,5.346801004096449,60.31707376241684,1.4228106201203343
SyntheticControl,39.08333346247673,1.3394650377641808,34.511111776034035,2.789575053508659,41.82222346464793,2.0686967065229847,43.13333451747894,1.2835134211978307,43.40000003576279,2.5223447979491462
ProximalPhalanxTW,33.31707328557968,3.0521929826879863,50.01625955104828,3.8839668220300965,48.74796708424886,2.167425286768255,42.926829059918724,6.183139483193127,51.219512820243835,3.4236823074253304
SmoothSubspace,47.13333338499069,1.4981467949630347,34.555555979410805,4.42026751541277,43.022223114967346,2.9137392598198733,43.51111253102621,2.011326144567603,43.499999940395355,3.1515431267924754
MoteStrain,49.53674137592316,2.2781650728125054,51.10755980014801,2.208340657828538,57.896698117256165,6.029856361479994,54.116079012552895,3.2370049247805244,54.35303494334221,6.693123958591275
Earthquakes,64.17266170183818,2.511468356427527,74.82014298439026,0.0,74.82014298439026,0.0,46.63414716720581,0.0,67.15827256441116,7.645810150391801
ProximalPhalanxOutlineCorrect,61.855670511722565,1.4276688871505938,63.45933715502421,2.2265870661993445,66.52921080589294,1.5378402886679134,68.04123679796855,0.3887875377949076,67.78350472450256,1.0438759527659356
SonyAIBORobotSurface2,54.2444908618927,2.1723861443166244,50.48618137836456,0.9790137635701328,54.746411641438804,1.1244630748666493,53.38229795296987,2.9348067225534233,56.15949600934982,1.4013012907708573
Strawberry,53.09459447860718,2.147713797639102,62.558559576670326,1.4798928638687492,64.30630723635356,0.025481422651706387,52.288289864857994,4.542327491422094,59.500000327825546,1.645045059789214
ElectricDevices,47.27467238903046,0.4895647074199581,,,48.65905851125717,0.6600967049598694,48.971598744392395,0.0,49.312021881341934,0.606024429247106
ECGFiveDays,49.7677119076252,0.6646641680255044,48.51722757021586,1.5658740925754848,49.732867081960045,2.3671350988929003,50.08904238541921,0.6314163479856661,50.53426265716553,1.6645908571053323
TwoPatterns,25.38624994456768,0.35725311238429297,33.78000169992447,5.866263879092643,45.743335485458374,6.889975845535781,25.17166793346405,0.40185691461895046,38.717500269412994,9.811782751036102
MiddlePhalanxOutlineAgeGroup,24.577922224998474,3.943836538753639,41.51515146096548,6.2033290420875415,28.70129883289337,2.5909005955328412,25.064935386180878,2.7262419166156335,27.175324708223343,2.1524280145109747
Car,,,20.44444551070531,3.0951979521981072,22.888890206813812,2.91017803298089,,,,
Lightning2,,,54.7540952761968,2.820434038605909,53.55190992355347,3.6345981399751763,,,,
Coffee,,,45.476192235946655,2.3570215603189753,54.761904875437416,3.2120813147454315,47.50000298023224,5.35714328289032,,
